name	layer	pos	n	file	sha256
beta_sigmoid	4	1	16	pos1/beta_sigmoid-4.f32	3a1d1345bd7f2669bce40a6174b81487079db1e636cdab16e882f203eceb98ab
z	4	1	2048	pos1/z-4.f32	c0a6ff75785be1536e4483957235b7ca73f51e64daf511212cc9afb5a383d6ad
state_predelta	4	1	262144	pos1/state_predelta-4.f32	e905aac3365db715aa02ac8e4cbf341bc74dd1cc982d49d813d6a83e053f36c9
attn_output	4	1	2048	pos1/attn_output-4.f32	0e83de5e7a9256439b7e0102796e070d7e086767d4d5b34ae06f683ad230028b
new_state	4	1	262144	pos1/new_state-4.f32	1f483f364e105f8ce8b26b0125d6355f17fc24395d63e1cf576336e640757cbd
final_output	4	1	2048	pos1/final_output-4.f32	7cc4f4058ecd37a7ae8a688465689bafba26f586b6eeb194cb26690510ff508f
linear_attn_out	4	1	1024	pos1/linear_attn_out-4.f32	50baebf00e38c2e07d99ccc3b1d79bd68355297a0a4a7c9893475cb216795ffb
attn_residual	4	1	1024	pos1/attn_residual-4.f32	ec810f38132a019807fb4d3435047eb96ecc26e07819afcd1e51f316070f893b
attn_post_norm	4	1	1024	pos1/attn_post_norm-4.f32	25bda499d0e55d20e6309d99b9144db26a7e699bd05799a52f3d17536affef72
ffn_out	4	1	1024	pos1/ffn_out-4.f32	06c0589e31a34d011b66839531c3d323bb53abb9133df7d4eeaa6532d0f04ae2
l_out	4	1	1024	pos1/l_out-4.f32	06a597330b57f5073f85804092d40d6d2361894b139b83a798a4e45eaf2228bb
attn_norm	5	1	1024	pos1/attn_norm-5.f32	648bd3820b69a29e062bbef8d97a6c4097db96060a3c0f8ee6a33c85eac3b4b1
conv_output_silu	5	1	6144	pos1/conv_output_silu-5.f32	d526eba939f99316555e81c27275ddaaaca3a0f2960ee0e4c209879c76bcff67
q_conv_predelta	5	1	2048	pos1/q_conv_predelta-5.f32	930ffc7616d384c2273ba0204ba6a5b0949aa01c085cbb44d0ac35d41d502348
k_conv_predelta	5	1	2048	pos1/k_conv_predelta-5.f32	c397287a5860c3f96e033123e15d02dd0f4b5445bac5e1248ed81431188b323d
v_conv_predelta	5	1	2048	pos1/v_conv_predelta-5.f32	a500eb94d0430313e40b48320c1ebaf17748625412c4122b0377735eecea8f93
a_softplus	5	1	16	pos1/a_softplus-5.f32	9d19f39558d3fcf09e75ed8e3834561cab2dae1a6ba8d71ffe77ee99b87d310c
gate	5	1	16	pos1/gate-5.f32	2c9d59aab783dd89b1efe77f8ba59701554628393b9c3876b4e338cc7ad9f898
beta_sigmoid	5	1	16	pos1/beta_sigmoid-5.f32	d8f2321d6666d133aa24811f1fbc4f35af4f762e7e7d89efa55a4f108a8eb4d9
z	5	1	2048	pos1/z-5.f32	73040c203ec402069d57a968b5290475f1ea637b4b050f36df732899b6cf5148
state_predelta	5	1	262144	pos1/state_predelta-5.f32	97ad02fc78f2a732b5d624a5d48947d5e2d7dd18fde1ce19239eff79c9002c05
attn_output	5	1	2048	pos1/attn_output-5.f32	a8dbbee23129c907137a13c8eb2d7aa9586412df09f60c47a5a65df841b32c0a
new_state	5	1	262144	pos1/new_state-5.f32	aaa5f1af588d9886e1356e3d5c3fa6530a38a241dc37484df7e2247a55b31f0b
final_output	5	1	2048	pos1/final_output-5.f32	a92cba01cfcc0c528a39f7eea2b0b7d4351e3aebc1ad21df514ceac42222c791
linear_attn_out	5	1	1024	pos1/linear_attn_out-5.f32	249c726bb3aad665e45440d708b8303322de16de7c4102b9117d4a8857975647
attn_residual	5	1	1024	pos1/attn_residual-5.f32	bebf1acb59029b53a177f2c99b9da28e7746ee119c56ff360e005921840634a6
attn_post_norm	5	1	1024	pos1/attn_post_norm-5.f32	bf7518103a9995d050f99c9404da998e8152096e4e4e5b5b9957e3b545d9ad58
ffn_out	5	1	1024	pos1/ffn_out-5.f32	c2ab9ad8c49c21e02fa6ca0c82c7162760cbc0fc14135a5f2b78e16c2e5a1fed
l_out	5	1	1024	pos1/l_out-5.f32	16b81a0b2b12f8a2e8da614577b720ae4dbc8dbe840a2a21e45b5685b8455cb8
attn_norm	6	1	1024	pos1/attn_norm-6.f32	eaf5550ca6c1548f3d1d069ce4bd8c4d9abbd017fbb9cff18424164226c50d7e
conv_output_silu	6	1	6144	pos1/conv_output_silu-6.f32	13e7bebefe0622c8c665d75175bd24427c4fe588fdf667e3eb3d89879b80ac34
q_conv_predelta	6	1	2048	pos1/q_conv_predelta-6.f32	d10d88fd1bfbafd325736908b690b02093d4f9bca6a86280d4af80609021b087
k_conv_predelta	6	1	2048	pos1/k_conv_predelta-6.f32	f6c54358a5d43913d7e536073eb28016b48b0eb49ca7bd8c71ac6e56de6847c1
v_conv_predelta	6	1	2048	pos1/v_conv_predelta-6.f32	e736d0352f6083d76ba9aee949f71f13c3a4f4e55db4eed0f155934361253a01
a_softplus	6	1	16	pos1/a_softplus-6.f32	00f4030a7eda5e879ad10d0964dedce4d9afc355695e27faa78bdab7a1957846
gate	6	1	16	pos1/gate-6.f32	07204a7e8b806b4c49186e1de2ea029919703861fa6a73647199fe821c76e5b9
beta_sigmoid	6	1	16	pos1/beta_sigmoid-6.f32	1d6af26e9d7667d394aaa77b2c7ff25f3d6ec32bfbea42f110fb9494ed8f18ea
z	6	1	2048	pos1/z-6.f32	74ac6179911d4cf2110523c24032370cbefe4772364b1988129d52e4b35fa8e7
state_predelta	6	1	262144	pos1/state_predelta-6.f32	0820c03aaaaa430f58585f521fb69a36157801896cc592c41bb488ab8bc80368
attn_output	6	1	2048	pos1/attn_output-6.f32	2a2a1e14d77bc71d36751e8b039512ab1061376cdac2a19f6acdd39304e232dc
new_state	6	1	262144	pos1/new_state-6.f32	0472f25484b3efc10536ce07eab83358619fe0ac1503c60beca3c94e2e4fdc51
final_output	6	1	2048	pos1/final_output-6.f32	6cd89d7c99e3050a71641f5666f5d68234fb9037a765e0f5e0946dbfb306cc94
linear_attn_out	6	1	1024	pos1/linear_attn_out-6.f32	c5f30c241347c579d570489bdb4a3beca0db17430c059718bad46877f7570a35
attn_residual	6	1	1024	pos1/attn_residual-6.f32	c5bf5094bca577cbd84771163113860ceb6147950c3131ff5f4640c681a17263
attn_post_norm	6	1	1024	pos1/attn_post_norm-6.f32	36bb660d9f48de586098678f1f53b6bbd0250ad9f3c0706fc49b07def64b5c5e
ffn_out	6	1	1024	pos1/ffn_out-6.f32	720a17a14b2e11de78a1662f041f3af4ba411d187fa4d281bb3a86aca190ef84
l_out	6	1	1024	pos1/l_out-6.f32	d1a08dcdc3364f76828d509765a549549a6924e4419e83551524e886a3dbdea1
attn_norm	7	1	1024	pos1/attn_norm-7.f32	ff8f646dae0079dd8870729acddf5f79dc4625d0b37748e8d19071a9c4763519
attn_pregate	7	1	2048	pos1/attn_pregate-7.f32	cef075c5612cf4938e8bae0be58218bbc98a215f3ffb7c54d0108c6a91a0f3bf
attn_gated	7	1	2048	pos1/attn_gated-7.f32	984b0e5eda79c8ded7cd921ec4215d56eb088efba6f13808c729a749f4bd6b8c
attn_output	7	1	1024	pos1/attn_output-7.f32	54faf0e269d8c06a85af80cb28179d333c0e6e2d1630814da6c7c1f6c804d1c6
attn_residual	7	1	1024	pos1/attn_residual-7.f32	b665e63867e64e177a4a74e5618cd3baf3b0cd83a139ffb3cf08ccdaa5256313
attn_post_norm	7	1	1024	pos1/attn_post_norm-7.f32	4136ec7c8c74055e2755173f6926e1d5f04ba90351fe62252e53667fb2a374ac
ffn_out	7	1	1024	pos1/ffn_out-7.f32	c39ea28aa1a38c31ac6b35d7ddac68325969330b7ed96f29819dae7407ae3d29
l_out	7	1	1024	pos1/l_out-7.f32	017f3f7c10f9d01aa210b23aca59cf7a6edcaffd2b63234f1ee4bfc6e9ff1c1a
attn_norm	8	1	1024	pos1/attn_norm-8.f32	09c81c79e4d3ad156b8f9f6c78543133c93d7d3d42a37553affa602243a71d83
conv_output_silu	8	1	6144	pos1/conv_output_silu-8.f32	d63e39061be4e03355621aede9b43d978a5bb26a5e63427146e824f531ee5294
q_conv_predelta	8	1	2048	pos1/q_conv_predelta-8.f32	fb527c2177c4e865318f7fd820980a9c84925090560f782c0b5e22af76d4c308
