label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	3	attn_residual-2	2	linear_gated_deltanet	mixer	0.070578	0.068685	-0.001893	0.997665	linear_attn_out-2	0.081020	0.996797
p4	3	l_out-2	2	linear_gated_deltanet	ffn	0.068685	0.083382	0.014697	0.996657	ffn_out-2	0.093520	0.995668
p4	3	attn_residual-3	3	full_attention	mixer	0.083382	0.086101	0.002719	0.996366	attn_output-3	0.080273	0.996988
p4	3	l_out-3	3	full_attention	ffn	0.086101	0.102255	0.016154	0.994796	ffn_out-3	0.132288	0.991269
p4	3	attn_residual-4	4	linear_gated_deltanet	mixer	0.102255	0.107051	0.004796	0.994296	linear_attn_out-4	0.155980	0.988565
p4	3	l_out-4	4	linear_gated_deltanet	ffn	0.107051	0.121338	0.014287	0.992673	ffn_out-4	0.163623	0.986525
p4	3	attn_residual-5	5	linear_gated_deltanet	mixer	0.121338	0.123975	0.002637	0.992318	linear_attn_out-5	0.143169	0.989700
p4	3	l_out-5	5	linear_gated_deltanet	ffn	0.123975	0.139483	0.015508	0.990225	ffn_out-5	0.191905	0.981468
p4	3	attn_residual-6	6	linear_gated_deltanet	mixer	0.139483	0.131034	-0.008449	0.991398	linear_attn_out-6	0.131758	0.991769
p4	3	l_out-6	6	linear_gated_deltanet	ffn	0.131034	0.129521	-0.001513	0.991739	ffn_out-6	0.188661	0.982085
p4	3	attn_residual-7	7	full_attention	mixer	0.129521	0.139880	0.010359	0.990387	attn_output-7	0.146205	0.990195
p4	3	l_out-7	7	full_attention	ffn	0.139880	0.137433	-0.002447	0.990554	ffn_out-7	0.204890	0.979517
p4	3	attn_residual-8	8	linear_gated_deltanet	mixer	0.137433	0.132895	-0.004538	0.991156	linear_attn_out-8	0.169679	0.985623
p4	3	l_out-8	8	linear_gated_deltanet	ffn	0.132895	0.133732	0.000837	0.991025	ffn_out-8	0.210017	0.978543
p4	3	attn_residual-9	9	linear_gated_deltanet	mixer	0.133732	0.133831	0.000099	0.991005	linear_attn_out-9	0.185504	0.982644
p4	3	l_out-9	9	linear_gated_deltanet	ffn	0.133831	0.132346	-0.001485	0.991210	ffn_out-9	0.238736	0.971633
p4	3	attn_residual-10	10	linear_gated_deltanet	mixer	0.132346	0.130746	-0.001600	0.991438	linear_attn_out-10	0.180706	0.984101
p4	3	l_out-10	10	linear_gated_deltanet	ffn	0.130746	0.134577	0.003831	0.990911	ffn_out-10	0.182265	0.983487
p4	3	attn_residual-11	11	full_attention	mixer	0.134577	0.138277	0.003700	0.990394	attn_output-11	0.148309	0.988985
p4	3	l_out-11	11	full_attention	ffn	0.138277	0.137966	-0.000311	0.990552	ffn_out-11	0.210842	0.979379
p4	3	attn_residual-12	12	linear_gated_deltanet	mixer	0.137966	0.135693	-0.002273	0.990774	linear_attn_out-12	0.204473	0.978874
p4	3	l_out-12	12	linear_gated_deltanet	ffn	0.135693	0.140197	0.004504	0.990195	ffn_out-12	0.218438	0.977112
p4	3	attn_residual-13	13	linear_gated_deltanet	mixer	0.140197	0.140636	0.000439	0.990077	linear_attn_out-13	0.183157	0.983084
p4	3	l_out-13	13	linear_gated_deltanet	ffn	0.140636	0.143298	0.002662	0.989683	ffn_out-13	0.222667	0.975378
p4	3	attn_residual-14	14	linear_gated_deltanet	mixer	0.143298	0.142392	-0.000906	0.989871	linear_attn_out-14	0.149452	0.989197
p4	3	l_out-14	14	linear_gated_deltanet	ffn	0.142392	0.141795	-0.000597	0.989903	ffn_out-14	0.167615	0.986047
p4	3	attn_residual-15	15	full_attention	mixer	0.141795	0.144545	0.002750	0.989499	attn_output-15	0.142455	0.989977
p4	3	l_out-15	15	full_attention	ffn	0.144545	0.141541	-0.003004	0.989942	ffn_out-15	0.169681	0.985505
p4	3	attn_residual-16	16	linear_gated_deltanet	mixer	0.141541	0.140430	-0.001111	0.990109	linear_attn_out-16	0.152354	0.988380
p4	3	l_out-16	16	linear_gated_deltanet	ffn	0.140430	0.141725	0.001295	0.989928	ffn_out-16	0.200857	0.979640
p4	3	attn_residual-17	17	linear_gated_deltanet	mixer	0.141725	0.138181	-0.003544	0.990476	linear_attn_out-17	0.179731	0.984115
p4	3	l_out-17	17	linear_gated_deltanet	ffn	0.138181	0.138044	-0.000137	0.990480	ffn_out-17	0.145418	0.989422
p4	3	attn_residual-18	18	linear_gated_deltanet	mixer	0.138044	0.131542	-0.006502	0.991446	linear_attn_out-18	0.148844	0.989273
p4	3	l_out-18	18	linear_gated_deltanet	ffn	0.131542	0.127597	-0.003945	0.991827	ffn_out-18	0.207861	0.979633
p4	3	attn_residual-19	19	full_attention	mixer	0.127597	0.131065	0.003468	0.991436	attn_output-19	0.234891	0.973722
p4	3	l_out-19	19	full_attention	ffn	0.131065	0.136833	0.005768	0.990595	ffn_out-19	0.199982	0.980592
p4	3	attn_residual-20	20	linear_gated_deltanet	mixer	0.136833	0.129876	-0.006957	0.991575	linear_attn_out-20	0.148647	0.988929
p4	3	l_out-20	20	linear_gated_deltanet	ffn	0.129876	0.134525	0.004649	0.990936	ffn_out-20	0.179318	0.983897
p4	3	attn_residual-21	21	linear_gated_deltanet	mixer	0.134525	0.134282	-0.000243	0.991069	linear_attn_out-21	0.211326	0.977718
p4	3	l_out-21	21	linear_gated_deltanet	ffn	0.134282	0.132597	-0.001685	0.991190	ffn_out-21	0.153217	0.988947
